gene ID,gene name,eye-1,eye-2,eye-3,wing-1,wing-3,wing-4
FBgn0085804,CR41571,0,0,0,0,0,0
FBgn0267431,CG45784,3,0,1,0,0,0
FBgn0039987,CR12798,0,0,0,0,0,0
FBgn0058182,CR40182,0,0,0,0,0,0
FBgn0267430,CG45783,0,0,0,0,0,0
FBgn0266747,CR45220,0,0,0,0,0,0
FBgn0086917,spok,9,22,49,0,1,1
FBgn0010247,Parp,3311,3518,3164,2863,2393,5680
FBgn0086378,Alg-2,1379,1394,1381,1513,1413,2972
FBgn0263977,Tim17b,4285,4680,3985,5294,5170,10489
FBgn0069923,CG41128,397,405,365,506,370,900
FBgn0039955,CG41099,3119,3529,3026,2834,3038,6274
FBgn0259821,CG42402,30,34,19,23,5,46
FBgn0027341,Gfat1,6488,7185,6475,6526,6474,14599
FBgn0085812,CR41601,0,0,0,0,0,0
FBgn0058198,CG40198,1,1,4,2,5,4
FBgn0037213,CG12581,6654,7128,6483,6804,6474,13089
FBgn0053294,CR33294,4,5,2,4,8,8
FBgn0000500,Dsk,0,0,0,0,0,4
FBgn0037215,CG12582,2432,2507,2305,1886,2365,4150
FBgn0037217,CG14636,52,52,62,2,0,5
FBgn0037218,aux,1301,1356,1273,1070,1250,2657
FBgn0051516,CG31516,1,3,0,0,0,2
FBgn0261436,DhpD,732,578,611,725,634,1385
FBgn0037220,CG14641,1725,1895,1589,2108,2116,3882
FBgn0015331,abs,955,889,935,782,748,1649
FBgn0010225,Gel,1272,1108,1051,1074,903,2395
FBgn0037222,CG14642,55,38,31,15,26,58
FBgn0085334,CG34305,4,5,1,4,4,14
FBgn0037223,TwdlU,12,2,7,1,9,12
FBgn0037224,TwdlF,0,1,0,0,2,8
FBgn0037225,TwdlG,0,0,0,0,0,0
FBgn0250821,CG14644,0,0,0,0,0,0
FBgn0037227,TwdlV,1,0,3,0,0,0
FBgn0041621,Or82a,0,0,0,0,0,0
FBgn0037228,CG1092,9,13,37,29,1,28
FBgn0037229,CG9766,3,0,5,0,0,0
FBgn0267157,CR45597,1,0,0,0,0,0
FBgn0041605,cpx,469,434,416,0,0,9
